	onset	duration	condition	amplitude
0	0.0	8	100	0
0	8.24	4.13	40	2
0	12.58	2	41	2
0	14.82	2	42	2
0	16.76	2	43	2
0	18.76	2	44	2
0	20.76	2	45	2
0	23.66	7.0	47	2
0	36.88	8.7	48	2
0	45.82	4.88	20	1
0	50.92	2	21	1
0	53.18	2	22	1
0	55.14	2	23	1
0	57.14	2	24	1
0	59.14	2	25	1
0	62.1	7.0	27	1
0	69.18	8.98	28	1
0	78.4	3.56	20	1
0	82.12	2	21	1
0	84.35	2	22	1
0	86.32	2	23	1
0	88.32	2	24	1
0	90.32	2	25	1
0	93.31	7.0	27	1
0	100.41	7.05	28	1
0	107.65	3.66	80	3
0	111.48	2	81	3
0	113.73	2	82	3
0	115.69	2	83	3
0	117.69	2	84	3
0	119.69	2	85	3
0	122.71	7.0	87	3
0	129.8	7.02	88	3
0	136.99	3.93	80	3
0	141.12	2	81	3
0	143.39	2	82	3
0	145.35	2	83	3
0	147.35	2	84	3
0	149.35	2	85	3
0	152.28	7.0	87	3
0	159.38	8.7	88	3
0	168.28	4.99	40	2
0	173.46	2	41	2
0	175.69	2	42	2
0	177.65	2	43	2
0	179.65	2	44	2
0	181.65	2	45	2
0	183.95	7.0	47	2
0	229.75	7.77	48	2
